record_id,time,victim,narrative,date_raw,source_page,notes
1,2252 HRS.,STATE OF ILLINOIS,"subject: lee, kari m. 26 yoa of 0-99 block of s. parkside in chicago, il was arrested, charged with possession of a controlled substance, manufacture of controlled substance, aggravated unlawful use of weapon, and criminal trespass to motor vehicle. subject was observed exiting from a 2007 black jeep liberty that was driven and parked in the west lot of oak park rush hospital with severe front end damage (involved in traffic crash at 400 block of madison). subject began yelling for help stating he had been shot in his leg and was taken into the emergency room for treatment. officers arrived at hospital, and subject gave several conflicting stories as to where he had been shot. as investigation continued subject was found to be in possession of a large quantity of narcotics (113 bags of suspect herion 83grams) on his person, and the vehicle subject was driving was found to be stolen out of chicago (07jan22 from 5000 block of adams jf-105837). additionally, a firearm was located on the drivers side floor of the vehicle. subject was treated and released from hospital for a gun shot wound to his lower right calf and foot. oak park police investigation resulted in the cook county states attorney approving charges on 14mar22 for aggravated uuw. subject was additionally charged with the narcotics and criminal trespass to vehicle. subject was on parole for aggravated battery a police officer, and illinois department of corrections issues a parole violation warrant for subject. subject was processed and held for bond hearings.",12-MAR-22,1.0,
2,,FOREST VIEW RESIDENT,"subject- richard chavez of 600 block of s maple ave in oak park was charged with first degree murder of victim on 24jan22 in the 600 block of s maple. victim was originally reported as a missing out of forest view on 23jan22 (22-0057). forest view police department, along with mcat (major crime assistance team) and oak park detectives initially tracked victim to the area of oak park, but were unable to locate victim. on 28jan22, wedge (west suburban drug and gang enforcement) working with mcat located victim's vehicle in the 5900 block of iowa ave, with victim deceased inside of vehicle. due to the victim found deceased in the city of chicago, the investigation was taken by chicago police (report #jf-127113). the investigation revealed that the victim went into the residence of richard chavez on 23jan22 where the homicide occurred. on 24jan22, the offender moved the victim and the victim's vehicle to the 5900 block of iowa where it was discovered on 28jan22. richard chavez was charged with first degree murder on 19feb22 and is currently in custody in cook county jail.",19 FEB 2022,1.0,
3,1655-1649 HRS,CHICAGO RESIDENTS,"offenders unknown: #1 m/b, late teens, dark skin tone, tall, muscular build with short twist/braid style black hair offender #2 m/h, and offender #3 m/h nothing further. offender #1 agreed to purchase custom made t-shirts from the victim and agreed to meet him at above location for the purchase. upon arriving at the parking lot of above location, offender #1 exited a black in color chevy impala and entered the rear passenger side of the victim's vehicle. once inside the vehicle, offender #1 displayed a small silver/black in color pistol and demanded the victim's property. offender #1 exited the vehicle and then removed the victim's apple i-phone from his hand, opened the cash app on the device and transferred $150.00 to an unknown account. offender #1 then removed the victim's white/black/blue in color nike air jordan retro #1 basketball shoes size #9, and the t-shirts he agreed to pay for from the vehicle. offender #1 then demanded all of the driver's property as well. the victims complied and the vehicle drove south on ridgeland to madison.",04-OCT-20 - 11-DEC-20,2.0,
4,1850 HRS.,LOMBARD RESIDENT,"offenders: young, darius 24 yoa of 6300 block of roosevelt, berwyn was arrest for the below armed robbery that occurred on the 1100 block of highland on 21-aug-20 between 1321-1323 hrs. young was turned over to other jurisdiction for further prosecution. #1 - m/b, average height, thin build, last seen wearing a face mask, dark colored hooded sweatshirt with a light colored shirt underneath and light colored jeans. #2 - m/b, average height, medium build, last seen wearing a face mask, royal blue hooded sweatshirt, and dark blue sweatpants with white stripes. #3 - m/b, taller, heavy build, last seen wearing a face mask, dark blue hooded sweatshirt and dark blue sweat pants. #4 - unknown. offenders approached the victim while at least one was armed with a firearm and ordered the victim to the ground. two of the offenders then began removing numerous packages from the ups vehicle that was driven by the victim. the offenders were last seen east on roosevelt in a silver colored kia. unknown loss at the time of the report",21-AUG-20,1.0,legit_outside_oak_park: event outside OP (CHICAGO)
5,2217 HRS.,OAK PARK RESIDENT,"offender #1 short hair, white t-shirt, black shorts, black socks and red flip flops and offender #2 short, white shirt that says (true) and black socks both described as younger forced the victim to the ground in the rear of victim's residence in 1000 block of s lyman and took a purse causing injury to victims arm and ankle (1703 hours). the offender(s) fled the scene in a black 4 door suv. a suv reported stolen out of chicago was recoved shortly after incident in 1300 block of gunderson in berwyn with victims purse inside (1831 hours). at approximately 2212 hours, offenders were observed by oak park police personnel in the 7000 block of west roosevelt. after a foot chase, one juvenile offender was taken into custody at 6700 block of w roosevelt and found to be in possession of victims id/ credit cards and the key fob from the stolen vehicle. juvenile was charged with aggravated robbery, aggravated battery, and aggravated possession of a stolen motor vehicle and detained in cook county juvenile detention center.",28-AUG-21,2.0,
6,1820 HRS.,TWO OAK PARK JUVENILES,"three offenders (#1 m/b, 15-19 yoa, 5'08"" - 5'10"", 130-140 lbs., wearing a black hooded sweatshirt with the hood up, afro style haircut, white/blue surgical mask, #2 m/b, 15-19 yoa, 5'09"" - 5'11"", 130-140 lbs., wearing a black hooded sweatshirt, white/blue surgical mask, #3 no further information) approached the victims in the garage as they were sitting in their parked/running 2018 mazda 3. offender #2 opened the driver's door, pointed a black hand gun at the driver and demanded the driver to exit the vehicle. offender #1 opened the passenger's door, pointed a black hand gun at the passenger and demanded the victim's cellular phone and to exit the vehicle. the offenders then entered the vehicle and fled with the vehicle in an unknown direction. victim #1's cellular phone was also left in the vehicle. estimated loss of the phones is $1,900.00. the vehicle was recovered by the chicago police dpeartment on the 200 block of n. central, chicago a short time later with no apprehensions.",01-DEC-18,3.0,
7,1846 HOURS,OAK PARK RESIDENT,"arrested- one juvenile chicago offender. victim was walking in the 600 block of n clarence when three juvenile offenders knock victim to the ground and one juvenile offender pointed a black handgun at victim. victim began to kick and scream all offenders began to flee. oppd responded and after short foot chase, two offenders were taken into custody in 700 block of gunderson and above juvenile offender was taken into custody in 700 block of s elmwood after he dropped a black handgun to the ground. victim identifed above juvenile and the weapon as the one pointed at victim. the weapon was found to be a black bb gun. investigation resulted in a positve identifcation of subject with the weapon, but victim was unable to identify the other two juveniles. the one juvenile offender was subsequently charged with aggravted assault and battery, and the other two juveiles were released without charges. the arrested chicago juvenile was later transported to 1100 s hamilton.",08 JANUARY 2022,2.0,
8,1940 HRS,,"riley, jeremy 34yoa of 100 block of s bell ave in chicago was charged at the above location for reckless discharge of a firearm. subject was with victim in 1100 block of cuyler on 30may22 at 0007 hours when an associate was shot in the leg by an unknown offender in a silver vehicle. riley (has foid & ccl) retrieved his handgun and shot at fleeing silver vehicle. riley then entered his vehicle and began chasing the offender with the victim in his vehicle. riley continued to shoot from his vehicle as he chased offender's silver vehicle. after a short distance, riley abandonded chase and drove victim to oak park hospital. riley's weapon was recovered and he was transported into oak park police station for further investigation. all evidence was presented to the cook county states attorneys office and felony charges were approved on 31may22 at 1940 hours for reckless dicharge. subject held for bond hearings. investigation into the aggravated battery is on-going at this time.",31-MAY-22,2.0,
9,1720-1735 HRS.,OLD NAVY,"4 offenders (described below) entered the business and removed several men's clothing items. the offenders past the last point of purchase without paying and were last seen heading s/b from the business. offender#1-m/b, 30-35, approximately 5`11"", average build, goatee, last seen wearing a black ski mask, black ball cap, jean jacket with a red heart on back, black pants, a blue backpack using a walking cane. offender #2-m/b, 30-35 yoa, 5`6, heavy set, short black hair, last seen wearing a black/white track jacket, white t-shirt, gray sweat pants with black/red/white sneakers. offender #3- f/b, 30-35 yoa, approx. 6`1, 260lbs, very light skin, red/brown hair, last seen wearing a purple ""fruit loops"" zip up hoodie, blue pants, red shoes carrying a beige bag. offender #4 - f/b. 30-35 yoa approx. 5`6"", last seen wearing a brown bonnet, black jacket, black pants, black/white sneakers and a pink purse. offender #1 and #2 appear to be the same offenders from rp#22-2926. estimated loss $1,066.75.",23-MAY-22,1.0,
10,1503 HRS.,ELMWOOD PARK RESIDENT,"the victim (lyft driver) arrived at 2300 block n. 73rd ct in elmwood park, il for two (2) passenger fares. the witness and the offender: m/b, 20-30 yoa, thin build, wearing a black in color jacket and black in color pants, entered the victim's silver in color 2020 toyota corolla. the drop off locations were 500 block madison ave and 1900 block s. hamlin ave in chicago. the witness was dropped off at 500 block madison ave. while waiting to drive away to the second drop off, the offender seated in the rear of the vehicle became verbally aggressive with the victim and struck him on the right side of the head with a fist. the offender jumped into the front passenger seat, unbuckled the victim's seat belt, opened the driver's side door and pushed him out. the offender then drove away in the toyota eastbound madison st. a short time later, chicago p.d. located the parked toyota on the 200 block s. avers ave. no apprehensions. vehicle was returned to owner.",10-DEC-23,5.0,
