record_id,complaint_num,pdf_filename,pdf_url,block_position,offense,date,location,lat,long,zone_id,zone_name,year,month,day,date_str
1,22-1324,24_hour_summary_report_for_15mar22.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/24_hour_summary_report_for_15mar22.pdf,2,UUW/ PCS ARREST/ PAROLE VIOLATION,2022-03-12,520 S. MAPLE OAK PARK RUSH HOSPITAL,41.8785243,-87.80300799999999,5,Zone 5,2022,3,12,2022-03-12
2,12-7113,weekend_summary_report_18feb-21feb22.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/weekend_summary_report_18feb-21feb22.pdf,2,FIRST DEGREE MURDER ARREST (CPD),2022-02-19,AREA 4 VIOLENT CRIMES,41.89332539999999,-87.7812524,3,Zone 3,2022,2,19,2022-02-19
3,20-7203,24_hour_summary_report_15_dec_2020.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2020/24_hour_summary_report_15_dec_2020.pdf,7,ARMED ROBBERY,2020-12-11,300 BLOCK OF CHICAGO,41.8947918,-87.78347889999999,1,Zone 1,2020,12,11,2020-12-11
4,20-04652,weekend_summary_report_21_aug_-_24_aug_2020.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2020/weekend_summary_report_21_aug_-_24_aug_2020.pdf,0,ARMED ROBBERY ARREST,2020-08-21,"5200 BLOCK OF WEST POLK, CHICAGO",41.8701328,-87.75516139999999,,,2020,8,21,2020-08-21
5,21-5292,weekend_summary_report_30_aug_2021.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2021/weekend_summary_report_30_aug_2021.pdf,7,AGGRAVATED ROBBERY ARREST,2021-08-28,6700 BLOCK OF ROOSEVELT,41.8652068,-87.7912935,8,Zone 8,2021,8,28,2021-08-28
6,18-07729,weekend_summary_report_03_dec_2018.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2018/weekend_summary_report_03_dec_2018.pdf,8,AGGRAVATED VEHICULAR HIGHJACKING / RECOVERY,2018-12-01,100 BLOCK OF NORTH HARVEY,41.8874546,-87.7814116,3,Zone 3,2018,12,1,2018-12-01
7,22-0152,weekend_summary_report_07jan21-10jan22v2.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/weekend_summary_report_07jan21-10jan22v2.pdf,6,AGGRAVATED ASSAULT ARREST,2022-01-08,600 BLOCK OF CLARENCE AVE,41.87785239999999,-87.79021519999999,6,Zone 6,2022,1,8,2022-01-08
8,22-3041,24_hour_summary_report_for_01jun22.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/24_hour_summary_report_for_01jun22.pdf,5,RECKLESS DISCHARGE OF A FIREARM ARREST,2022-05-31,123 MADISON,41.8793279,-87.77910039999999,6,Zone 6,2022,5,31,2022-05-31
9,22-2927,24_hour_summary_report_for_25may22.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/24_hour_summary_report_for_25may22.pdf,1,RETAIL THEFT,2022-05-23,417 N HARLEM,41.8875748,-87.8045843,3,Zone 3,2022,5,23,2022-05-23
10,23-07776,summary_report_13-december-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_13-december-2023.pdf,18,VEHICULAR HIJACKING,2023-12-10,500 BLOCK MADISON ST.,41.879479,-87.79965399999999,5,Zone 5,2023,12,10,2023-12-10
